application_id,program_category,country,bit_program_applied,degree_language,previous_gpa,math_physics_background_score,research_alignment_score,publication_count,recommendation_strength,interview_score,english_test_type,english_score,chinese_proficiency,admission_decision,scholarship_tier
BIT20250380,Undergraduate,Russia,Life Science,English-taught,3.21,5.1,5.3,0,7.0,62.8,TOEFL,108.97683125371894,HSK2,Admitted,No Scholarship
BIT20250381,Undergraduate,Pakistan,Optics and Photonics,English-taught,3.83,8.8,5.8,2,8.3,87.5,DUOLINGO,116.77734344771468,HSK1,Admitted,Full Scholarship
BIT20250382,Postgraduate,Kenya,Optical Engineering,English-taught,2.38,2.6,5.6,0,6.0,40.4,DUOLINGO,94.50226367200514,HSK2,Rejected,No Scholarship
BIT20250383,Postgraduate,Thailand,Chemical Engineering and Technology,English-taught,2.48,3.6,2.0,0,6.3,44.2,TOEFL,87.15825492032609,HSK2,Rejected,No Scholarship
BIT20250384,Chinese Language,Thailand,Chinese Language and Culture,Chinese-taught,3.09,3.3,6.5,0,6.7,75.0,TOEFL,82.28553273198534,HSK4,Admitted,No Scholarship
BIT20250385,Postgraduate,Malaysia,Chemical Engineering and Technology,Chinese-taught,2.66,6.0,7.9,0,6.9,81.7,TOEFL,96.02931079562768,HSK4,Admitted,No Scholarship
BIT20250386,Chinese Language,Brazil,Chinese Language and Culture,Chinese-taught,2.82,3.8,2.2,1,7.0,64.9,TOEFL,76.86096910529082,HSK3,Rejected,No Scholarship
BIT20250387,Undergraduate,Kazakhstan,Information and Electronics,English-taught,3.39,4.1,3.7,0,5.0,85.5,IELTS,6.065529400575459,HSK3,Rejected,No Scholarship
BIT20250388,Undergraduate,Mongolia,Life Science,Chinese-taught,3.52,3.7,2.8,0,5.6,70.2,TOEFL,61.76238299417,HSK3,Rejected,No Scholarship
BIT20250389,Chinese Language,Kazakhstan,Chinese Language and Culture,Chinese-taught,3.5,8.4,9.6,1,8.8,98.9,TOEFL,106.3330105103079,HSK5,Admitted,Partial Scholarship
BIT20250390,Chinese Language,Kenya,Chinese Language and Culture,Chinese-taught,2.99,2.9,4.1,0,5.0,54.9,IELTS,3.9894726876814275,HSK4,Rejected,No Scholarship
BIT20250391,Dual Degree,Zimbabwe,Joint Mechanical Engineering,English-taught,3.6,7.3,5.6,2,8.4,70.6,IELTS,7.994763852773098,HSK3,Admitted,Partial Scholarship
BIT20250392,Postgraduate,Malaysia,Design,Chinese-taught,3.49,5.5,7.2,0,7.8,92.5,IELTS,6.414979844811353,HSK4,Admitted,No Scholarship
BIT20250393,Undergraduate,Zimbabwe,Chemistry and Chemical Engineering,English-taught,3.65,10.0,7.2,2,10.0,98.0,TOEFL,97.5454790887226,HSK1,Admitted,Full Scholarship
BIT20250394,Chinese Language,Zimbabwe,Chinese Language and Culture,Chinese-taught,2.83,6.1,2.9,0,6.0,84.9,TOEFL,99.3745393606119,HSK5,Admitted,No Scholarship
BIT20250395,Undergraduate,Brazil,Medical Technology,English-taught,2.3,3.5,7.7,0,5.4,54.6,IELTS,6.060329917664983,HSK3,Rejected,No Scholarship
BIT20250396,Dual Degree,Zimbabwe,Joint Computer Science Program,Chinese-taught,3.58,8.8,8.1,2,8.3,99.2,DUOLINGO,120.27222563984645,HSK6,Admitted,Partial Scholarship
BIT20250397,Chinese Language,Kenya,Chinese Language and Culture,Chinese-taught,2.67,4.2,5.2,0,5.0,77.9,TOEFL,116.60241519526969,HSK4,Rejected,No Scholarship
BIT20250398,Postgraduate,Morocco,Design,English-taught,3.41,8.6,8.1,1,8.5,70.8,TOEFL,117.12462629144738,HSK1,Admitted,Partial Scholarship
BIT20250399,Chinese Language,Russia,Chinese Language and Culture,Chinese-taught,2.94,5.7,6.1,0,6.4,73.2,DUOLINGO,95.86792381884406,HSK4,Admitted,No Scholarship
BIT20250400,Chinese Language,Ethiopia,Chinese Language and Culture,Chinese-taught,2.0,4.9,2.4,0,8.2,71.3,IELTS,4.566891528145929,HSK3,Rejected,No Scholarship
BIT20250401,Undergraduate,Mongolia,Materials Science and Engineering,English-taught,3.56,6.9,3.0,0,7.4,80.6,TOEFL,76.27959866188093,HSK2,Rejected,No Scholarship
BIT20250402,Dual Degree,Malaysia,Joint Mechanical Engineering,English-taught,3.72,7.3,5.6,4,8.8,86.4,TOEFL,96.39818754930764,HSK1,Admitted,Full Scholarship
BIT20250403,Postgraduate,Indonesia,Computer Science and Technology,English-taught,2.99,6.0,4.6,0,4.6,88.1,TOEFL,37.31994308751081,HSK1,Rejected,No Scholarship
BIT20250404,Chinese Language,Kenya,Chinese Language and Culture,Chinese-taught,3.4,3.7,4.4,1,9.2,70.5,TOEFL,99.11540893308683,HSK4,Admitted,Partial Scholarship
BIT20250405,Undergraduate,Egypt,Materials Science and Engineering,English-taught,3.71,4.3,4.3,2,7.1,75.7,DUOLINGO,93.50956410490367,HSK1,Admitted,No Scholarship
BIT20250406,Chinese Language,Morocco,Chinese Language and Culture,Chinese-taught,3.26,6.3,6.3,0,10.0,80.1,IELTS,6.1239410294381775,HSK4,Admitted,Partial Scholarship
BIT20250407,Undergraduate,Mongolia,Humanities and Social Sciences,Chinese-taught,2.68,4.6,5.1,0,4.4,83.5,TOEFL,17.982217047248923,HSK3,Rejected,No Scholarship
BIT20250408,Undergraduate,Kenya,Cyberspace Science and Technology,English-taught,2.8,2.8,0.9,0,6.2,59.7,DUOLINGO,85.93237185989011,HSK2,Rejected,No Scholarship
BIT20250409,Dual Degree,Morocco,Joint Business Administration Program,English-taught,2.79,1.5,3.8,0,7.4,70.9,IELTS,4.954361433336253,HSK2,Rejected,No Scholarship
BIT20250410,Undergraduate,Zimbabwe,Chemistry and Chemical Engineering,English-taught,3.07,6.6,5.6,2,7.3,64.2,TOEFL,92.18156504155665,HSK2,Admitted,No Scholarship
BIT20250411,Undergraduate,Indonesia,Management,English-taught,3.36,4.0,0.0,0,6.8,90.9,DUOLINGO,70.01690987884278,HSK3,Rejected,No Scholarship
BIT20250412,Dual Degree,Russia,Joint Mechanical Engineering,English-taught,3.97,7.3,7.4,3,8.9,97.0,IELTS,7.908993754754391,HSK2,Admitted,Full Scholarship
BIT20250413,Dual Degree,Malaysia,Joint Computer Science Program,Chinese-taught,3.06,7.2,4.1,0,4.4,100.0,TOEFL,42.476710343756665,HSK3,Rejected,No Scholarship
BIT20250414,Postgraduate,Thailand,Design,English-taught,3.41,6.0,4.1,1,5.3,63.3,TOEFL,120.0,HSK1,Rejected,No Scholarship
BIT20250415,Postgraduate,Kazakhstan,Control Science and Engineering,Chinese-taught,2.16,5.8,2.6,0,3.7,61.2,TOEFL,48.51975868403479,HSK4,Rejected,No Scholarship
BIT20250416,Postgraduate,France,Materials Science and Technology,English-taught,2.81,3.2,3.6,0,6.2,72.5,IELTS,4.765492346872916,HSK1,Rejected,No Scholarship
BIT20250417,Undergraduate,Ethiopia,Life Science,English-taught,2.55,4.2,5.7,1,5.7,60.6,IELTS,2.285407892313476,HSK2,Rejected,No Scholarship
BIT20250418,Undergraduate,Russia,Information and Electronics,English-taught,2.33,2.5,6.3,0,4.6,61.0,TOEFL,78.03409768778509,HSK2,Rejected,No Scholarship
BIT20250419,Postgraduate,Thailand,Design,English-taught,3.39,7.0,4.7,1,6.7,80.6,IELTS,6.275147625377083,HSK3,Rejected,No Scholarship
BIT20250420,Chinese Language,Pakistan,Chinese Language and Culture,Chinese-taught,3.48,6.4,9.0,0,6.7,83.2,IELTS,7.491574457461012,HSK5,Admitted,No Scholarship
BIT20250421,Chinese Language,Malaysia,Chinese Language and Culture,Chinese-taught,3.04,6.9,6.8,0,6.8,70.9,IELTS,6.754447506210845,HSK4,Admitted,No Scholarship
BIT20250422,Chinese Language,Kenya,Chinese Language and Culture,Chinese-taught,3.73,7.9,6.6,1,8.6,95.6,DUOLINGO,119.90184140411094,HSK5,Admitted,Full Scholarship
BIT20250423,Undergraduate,Pakistan,Management,English-taught,3.83,6.9,8.0,1,9.2,91.6,IELTS,8.120974152160567,HSK3,Admitted,Full Scholarship
BIT20250424,Postgraduate,Thailand,Information and Communication Engineering,English-taught,3.16,5.8,5.6,0,7.6,71.1,DUOLINGO,84.65975996479288,HSK3,Rejected,No Scholarship
BIT20250425,Undergraduate,Russia,Humanities and Social Sciences,Chinese-taught,3.42,5.9,2.9,2,8.2,54.9,IELTS,6.871278996509853,HSK4,Rejected,No Scholarship
BIT20250426,Postgraduate,Kenya,Biomedical Engineering,English-taught,3.46,8.0,7.9,1,7.5,81.1,TOEFL,81.43896794503223,HSK1,Rejected,No Scholarship
BIT20250427,Postgraduate,Malaysia,Education,Chinese-taught,3.09,1.5,0.6,0,4.0,72.7,TOEFL,95.3110818489883,HSK3,Rejected,No Scholarship
BIT20250428,Chinese Language,Egypt,Chinese Language and Culture,Chinese-taught,3.29,5.7,6.8,3,5.6,95.3,IELTS,5.769126462137026,HSK4,Rejected,No Scholarship
BIT20250429,Undergraduate,France,Mechatronical Engineering,English-taught,2.56,2.0,4.0,1,6.1,86.7,TOEFL,69.92241441123231,HSK2,Rejected,No Scholarship
BIT20250430,Undergraduate,Zimbabwe,Management,Chinese-taught,3.22,7.6,4.6,1,8.3,77.8,IELTS,6.058574299225166,HSK4,Admitted,Partial Scholarship
BIT20250431,Undergraduate,Kenya,Medical Technology,Chinese-taught,3.41,2.7,7.1,0,6.0,75.9,DUOLINGO,101.01947334083599,HSK4,Rejected,No Scholarship
BIT20250432,Chinese Language,Egypt,Chinese Language and Culture,Chinese-taught,2.52,6.4,3.6,0,3.2,72.7,TOEFL,57.32644593490254,HSK3,Rejected,No Scholarship
BIT20250433,Postgraduate,Malaysia,Aeronautical and Astronautical Science and Technology,English-taught,3.6,4.0,3.2,1,6.2,64.1,IELTS,4.300883798955084,HSK1,Rejected,No Scholarship
BIT20250434,Undergraduate,Malaysia,Chemistry and Chemical Engineering,Chinese-taught,3.59,7.7,7.9,1,9.7,91.9,TOEFL,103.58900896424691,HSK5,Admitted,Partial Scholarship
BIT20250435,Undergraduate,Kenya,Humanities and Social Sciences,English-taught,3.26,6.3,5.8,0,8.6,64.7,DUOLINGO,86.11073609219746,HSK2,Rejected,No Scholarship
BIT20250436,Postgraduate,Russia,Computer Science and Technology,Chinese-taught,3.17,4.0,3.1,0,5.8,51.3,TOEFL,75.49331183663026,HSK3,Rejected,No Scholarship
BIT20250437,Undergraduate,Egypt,Optics and Photonics,English-taught,3.01,6.0,6.6,0,6.1,73.3,IELTS,5.942758254596777,HSK1,Rejected,No Scholarship
BIT20250438,Chinese Language,Russia,Chinese Language and Culture,Chinese-taught,3.02,9.4,5.4,0,6.0,83.5,TOEFL,82.95440435511858,HSK4,Admitted,No Scholarship
BIT20250439,Postgraduate,Morocco,Applied Economics,English-taught,3.43,4.6,5.7,1,7.6,74.6,TOEFL,91.53744721840619,HSK1,Admitted,No Scholarship
BIT20250440,Undergraduate,Thailand,Chemistry and Chemical Engineering,Chinese-taught,3.62,6.0,8.1,4,8.6,92.2,DUOLINGO,138.84398140947187,HSK6,Admitted,Partial Scholarship
BIT20250441,Undergraduate,India,Physics,English-taught,3.22,6.6,7.6,2,6.5,92.0,IELTS,6.279945044965781,HSK1,Admitted,No Scholarship
BIT20250442,Dual Degree,Kenya,Joint Computer Science Program,English-taught,3.06,6.6,1.4,0,3.0,57.9,IELTS,5.710840715971275,HSK1,Rejected,No Scholarship
BIT20250443,Undergraduate,Ethiopia,Life Science,Chinese-taught,3.34,6.6,5.5,1,6.5,83.4,DUOLINGO,102.86995323797552,HSK4,Admitted,No Scholarship
BIT20250444,Undergraduate,Malaysia,Law,English-taught,3.67,8.2,8.5,4,7.9,96.9,IELTS,7.17528614266803,HSK3,Admitted,Partial Scholarship
BIT20250445,Chinese Language,Kazakhstan,Chinese Language and Culture,Chinese-taught,1.91,6.3,3.1,0,4.8,53.4,TOEFL,89.42052756229319,HSK3,Rejected,No Scholarship
BIT20250446,Dual Degree,Kenya,Joint Business Administration Program,English-taught,3.03,5.6,3.9,0,4.1,67.8,TOEFL,73.02528243134853,HSK1,Rejected,No Scholarship
BIT20250447,Dual Degree,Thailand,Joint Business Administration Program,English-taught,3.06,5.2,5.0,0,5.5,78.3,DUOLINGO,100.02792663360611,HSK1,Rejected,No Scholarship
BIT20250448,Chinese Language,Indonesia,Chinese Language and Culture,Chinese-taught,2.98,5.5,3.6,0,5.5,75.3,TOEFL,120.0,HSK5,Rejected,No Scholarship
BIT20250449,Undergraduate,Indonesia,Management,English-taught,3.14,4.3,5.0,0,6.2,77.3,TOEFL,92.49605313069733,HSK2,Admitted,No Scholarship
BIT20250450,Undergraduate,Mongolia,Optics and Photonics,Chinese-taught,3.37,6.1,5.9,2,5.0,72.1,TOEFL,106.48035382754823,HSK4,Rejected,No Scholarship
BIT20250451,Chinese Language,Ethiopia,Chinese Language and Culture,Chinese-taught,3.55,6.6,8.7,1,8.6,91.2,IELTS,7.916412551663879,HSK5,Admitted,Partial Scholarship
BIT20250452,Postgraduate,Malaysia,Education,English-taught,3.76,4.5,6.5,0,7.4,86.6,IELTS,6.192673653048366,HSK1,Admitted,No Scholarship
BIT20250453,Postgraduate,Pakistan,Applied Economics,English-taught,2.8,4.6,4.1,0,7.1,79.6,TOEFL,65.81496206486997,HSK3,Rejected,No Scholarship
BIT20250454,Dual Degree,Malaysia,Joint Business Administration Program,English-taught,3.38,2.8,0.0,0,5.7,70.0,IELTS,3.6815626308886644,HSK1,Rejected,No Scholarship
BIT20250455,Undergraduate,Morocco,Materials Science and Engineering,Chinese-taught,2.05,5.6,4.6,0,8.8,86.3,IELTS,6.145911263930694,HSK3,Rejected,No Scholarship
BIT20250456,Postgraduate,Zimbabwe,Aeronautical and Astronautical Science and Technology,English-taught,1.82,6.8,7.9,1,4.5,61.4,IELTS,4.1063060318802105,HSK3,Rejected,No Scholarship
BIT20250457,Undergraduate,Egypt,Mechatronical Engineering,English-taught,2.84,6.0,3.8,0,6.5,79.8,TOEFL,84.9189848171439,HSK1,Rejected,No Scholarship
BIT20250458,Postgraduate,Malaysia,Optical Engineering,Chinese-taught,3.82,9.3,8.1,2,8.9,78.4,DUOLINGO,144.01095849733161,HSK5,Admitted,Partial Scholarship
BIT20250459,Undergraduate,India,Economics,English-taught,2.41,5.7,4.0,0,6.7,43.8,DUOLINGO,54.59449198961241,HSK1,Rejected,No Scholarship
BIT20250460,Undergraduate,France,Life Science,English-taught,3.13,3.1,6.8,1,9.0,77.9,TOEFL,111.6481137209413,HSK3,Admitted,No Scholarship
BIT20250461,Undergraduate,Indonesia,Materials Science and Engineering,English-taught,3.32,4.9,5.7,2,7.6,83.8,DUOLINGO,133.99421616739446,HSK1,Admitted,No Scholarship
BIT20250462,Postgraduate,France,Biomedical Engineering,English-taught,2.59,4.2,3.2,0,8.0,65.7,DUOLINGO,43.72320979225165,HSK1,Rejected,No Scholarship
BIT20250463,Postgraduate,France,Information and Communication Engineering,English-taught,2.43,5.6,2.9,0,6.9,64.1,DUOLINGO,92.16336930366963,HSK1,Rejected,No Scholarship
BIT20250464,Postgraduate,Russia,Statistics,English-taught,2.58,3.4,4.6,0,3.9,79.6,TOEFL,84.49318512825445,HSK1,Rejected,No Scholarship
BIT20250465,Dual Degree,France,Joint Computer Science Program,Chinese-taught,2.71,3.9,5.5,0,3.4,65.8,TOEFL,90.84309345471411,HSK4,Rejected,No Scholarship
BIT20250466,Undergraduate,Zimbabwe,Chemistry and Chemical Engineering,English-taught,3.94,9.4,4.6,1,8.6,88.8,IELTS,7.967720460134324,HSK2,Admitted,Full Scholarship
BIT20250467,Undergraduate,Morocco,Information and Electronics,Chinese-taught,2.71,4.7,3.4,0,4.8,61.6,TOEFL,38.685263077823805,HSK3,Rejected,No Scholarship
BIT20250468,Chinese Language,Pakistan,Chinese Language and Culture,Chinese-taught,3.07,5.1,0.3,0,7.0,53.7,TOEFL,86.6343885548785,HSK4,Rejected,No Scholarship
BIT20250469,Undergraduate,France,Materials Science and Engineering,English-taught,3.52,6.5,6.7,1,7.8,73.8,TOEFL,100.32505045141673,HSK2,Admitted,Partial Scholarship
BIT20250470,Dual Degree,Ethiopia,Joint Computer Science Program,Chinese-taught,3.68,8.3,7.5,2,9.2,100.0,TOEFL,101.13695889559195,HSK6,Admitted,Full Scholarship
BIT20250471,Undergraduate,Kenya,Management,Chinese-taught,2.37,3.7,2.7,0,4.9,67.5,IELTS,5.941857116289609,HSK4,Rejected,No Scholarship
BIT20250472,Dual Degree,Ethiopia,Joint Business Administration Program,English-taught,2.71,4.5,3.3,0,7.6,64.8,DUOLINGO,107.12681984347618,HSK2,Admitted,No Scholarship
BIT20250473,Undergraduate,Kenya,Information and Electronics,English-taught,2.89,3.7,5.0,0,3.1,70.6,IELTS,4.5150729524093185,HSK2,Rejected,No Scholarship
BIT20250474,Chinese Language,Russia,Chinese Language and Culture,Chinese-taught,2.68,3.5,5.6,1,7.1,59.5,IELTS,3.698214647959025,HSK3,Rejected,No Scholarship
BIT20250475,Postgraduate,Zimbabwe,Control Science and Engineering,English-taught,2.97,4.7,5.5,0,5.4,63.3,TOEFL,112.16681345376995,HSK1,Rejected,No Scholarship
BIT20250476,Dual Degree,Pakistan,Joint Computer Science Program,Chinese-taught,3.58,5.9,5.3,0,6.9,77.7,IELTS,5.923377540972977,HSK4,Admitted,No Scholarship
BIT20250477,Undergraduate,India,Management,Chinese-taught,2.62,5.6,4.8,0,5.7,73.5,DUOLINGO,29.987218601163008,HSK3,Rejected,No Scholarship
BIT20250478,Postgraduate,Thailand,Computer Science and Technology,English-taught,3.13,1.3,4.7,0,7.2,60.4,IELTS,5.198258006505855,HSK2,Rejected,No Scholarship
BIT20250479,Dual Degree,Pakistan,Joint Business Administration Program,English-taught,2.88,7.1,5.8,0,6.2,72.4,IELTS,4.913891168829661,HSK3,Rejected,No Scholarship
BIT20250480,Postgraduate,Thailand,Physics,English-taught,3.05,3.6,0.6,0,6.2,51.4,IELTS,5.080706669989432,HSK2,Rejected,No Scholarship
BIT20250481,Postgraduate,Ethiopia,Electronics Science and Technology,Chinese-taught,3.03,2.8,2.2,0,6.5,92.7,IELTS,5.836607002790951,HSK4,Rejected,No Scholarship
BIT20250482,Postgraduate,Mongolia,Law,English-taught,2.11,5.8,6.4,0,5.6,63.0,IELTS,4.442008642958691,HSK1,Rejected,No Scholarship
BIT20250483,Postgraduate,Indonesia,Optical Engineering,English-taught,3.7,8.6,7.6,1,9.8,86.3,TOEFL,109.2365476445731,HSK3,Admitted,Partial Scholarship
BIT20250484,Postgraduate,Thailand,Aeronautical and Astronautical Science and Technology,English-taught,2.66,9.0,3.6,0,4.8,64.0,IELTS,5.479999638074427,HSK3,Rejected,No Scholarship
BIT20250485,Postgraduate,Morocco,Electronics Science and Technology,English-taught,3.78,7.8,5.4,2,8.1,83.5,TOEFL,109.04598729277527,HSK3,Admitted,No Scholarship
BIT20250486,Dual Degree,Kazakhstan,Joint Computer Science Program,Chinese-taught,3.33,5.5,4.6,1,6.7,66.9,TOEFL,87.15641799455756,HSK5,Admitted,No Scholarship
BIT20250487,Undergraduate,Morocco,Economics,English-taught,2.49,6.7,4.4,0,6.5,85.4,IELTS,5.037790365682742,HSK3,Rejected,No Scholarship
BIT20250488,Undergraduate,Malaysia,Materials Science and Engineering,English-taught,3.89,7.0,7.4,1,8.6,88.4,DUOLINGO,126.85055331783202,HSK3,Admitted,Full Scholarship
BIT20250489,Dual Degree,Indonesia,Joint Business Administration Program,English-taught,1.92,2.6,5.6,0,4.9,55.7,TOEFL,76.47138719146672,HSK3,Rejected,No Scholarship
BIT20250490,Chinese Language,Indonesia,Chinese Language and Culture,Chinese-taught,2.08,2.9,2.7,1,5.8,69.6,IELTS,4.835293918532288,HSK3,Rejected,No Scholarship
BIT20250491,Postgraduate,Kenya,Materials Science and Technology,English-taught,3.37,7.0,5.8,2,7.7,88.1,DUOLINGO,131.12350241709288,HSK3,Admitted,No Scholarship
BIT20250492,Postgraduate,Zimbabwe,Materials Science and Technology,English-taught,3.38,7.4,6.0,1,7.5,86.1,DUOLINGO,101.49173042588176,HSK1,Admitted,No Scholarship
BIT20250493,Undergraduate,Brazil,Mathematics and Statistics,Chinese-taught,3.36,7.0,7.9,1,8.6,87.6,TOEFL,96.98553487333085,HSK4,Admitted,Partial Scholarship
BIT20250494,Undergraduate,Russia,Economics,Chinese-taught,2.96,5.9,4.1,1,5.9,42.9,TOEFL,50.514642520379475,HSK3,Rejected,No Scholarship
BIT20250495,Postgraduate,Ethiopia,Mechanical Engineering,English-taught,2.48,5.5,3.0,0,5.8,83.5,TOEFL,120.0,HSK1,Rejected,No Scholarship
BIT20250496,Undergraduate,Kazakhstan,Mechanical Engineering,English-taught,3.65,8.6,4.4,0,7.6,61.0,DUOLINGO,112.59520446483167,HSK2,Admitted,Partial Scholarship
BIT20250497,Postgraduate,Thailand,Computer Science and Technology,Chinese-taught,2.98,5.6,0.8,0,5.3,80.9,TOEFL,81.68040572731358,HSK3,Rejected,No Scholarship
BIT20250498,Undergraduate,France,Automation,English-taught,2.57,2.9,3.0,0,7.3,67.8,IELTS,6.720439434677705,HSK3,Rejected,No Scholarship
BIT20250499,Dual Degree,Zimbabwe,Joint Computer Science Program,English-taught,2.76,4.1,3.5,0,6.3,54.8,IELTS,3.8216350532897874,HSK2,Rejected,No Scholarship
BIT20250500,Dual Degree,Kazakhstan,Joint Business Administration Program,Chinese-taught,2.51,3.6,4.8,0,4.9,69.7,IELTS,3.900646524947819,HSK4,Rejected,No Scholarship
BIT20250501,Postgraduate,Russia,Cyberspace Science and Technology,Chinese-taught,3.84,9.1,6.6,1,8.7,77.9,IELTS,7.922558594664339,HSK6,Admitted,Partial Scholarship
BIT20250502,Postgraduate,Kenya,Statistics,Chinese-taught,2.3,2.8,5.0,0,5.7,71.0,IELTS,6.257560742388361,HSK3,Rejected,No Scholarship
BIT20250503,Undergraduate,Ethiopia,Law,Chinese-taught,3.68,8.5,5.5,0,7.4,81.2,IELTS,6.758409169446682,HSK5,Admitted,Partial Scholarship
BIT20250504,Chinese Language,Zimbabwe,Chinese Language and Culture,Chinese-taught,2.55,4.8,2.9,0,4.4,59.2,IELTS,4.012670779360018,HSK4,Rejected,No Scholarship
BIT20250505,Postgraduate,Russia,Design,Chinese-taught,3.67,6.0,5.2,1,7.3,76.9,TOEFL,73.83016673825743,HSK5,Admitted,No Scholarship
BIT20250506,Undergraduate,Mongolia,Information and Electronics,English-taught,1.85,5.8,0.0,0,7.0,64.2,TOEFL,94.36675702795226,HSK2,Rejected,No Scholarship
BIT20250507,Dual Degree,Mongolia,Joint Mechanical Engineering,English-taught,1.94,6.4,1.6,1,7.5,67.8,IELTS,5.09569865873769,HSK3,Rejected,No Scholarship
BIT20250508,Chinese Language,Morocco,Chinese Language and Culture,Chinese-taught,1.99,2.5,3.9,0,6.3,53.2,IELTS,5.459534143985269,HSK3,Rejected,No Scholarship
BIT20250509,Dual Degree,Morocco,Joint Mechanical Engineering,English-taught,2.67,5.7,3.8,0,5.5,52.0,IELTS,3.9605288407484105,HSK1,Rejected,No Scholarship
BIT20250510,Postgraduate,Russia,Aeronautical and Astronautical Science and Technology,English-taught,3.77,4.4,3.9,1,6.0,69.5,TOEFL,95.15360388979741,HSK1,Rejected,No Scholarship
BIT20250511,Postgraduate,Kazakhstan,Applied Economics,English-taught,3.68,8.2,9.3,0,8.9,92.5,IELTS,6.882741613354069,HSK3,Admitted,Partial Scholarship
BIT20250512,Postgraduate,Morocco,Design,English-taught,3.36,4.4,7.0,0,7.4,80.6,DUOLINGO,111.50155966290484,HSK2,Admitted,No Scholarship
BIT20250513,Dual Degree,Ethiopia,Joint Computer Science Program,English-taught,3.21,3.9,1.7,1,4.8,57.5,DUOLINGO,123.97247444535117,HSK1,Rejected,No Scholarship
BIT20250514,Chinese Language,Zimbabwe,Chinese Language and Culture,Chinese-taught,3.16,0.8,5.7,0,5.7,83.3,IELTS,2.731302517507377,HSK3,Rejected,No Scholarship
BIT20250515,Undergraduate,Kazakhstan,Mathematics and Statistics,English-taught,2.32,2.9,2.5,0,5.1,59.9,IELTS,6.37847690816924,HSK2,Rejected,No Scholarship
BIT20250516,Undergraduate,Morocco,Materials Science and Engineering,English-taught,3.55,6.0,5.5,0,6.5,81.5,DUOLINGO,93.03530298643354,HSK3,Admitted,No Scholarship
BIT20250517,Undergraduate,India,Optics and Photonics,English-taught,3.25,6.2,4.9,0,7.4,85.9,TOEFL,96.25873437979277,HSK1,Admitted,Partial Scholarship
BIT20250518,Chinese Language,Thailand,Chinese Language and Culture,Chinese-taught,3.81,9.0,6.9,0,8.4,80.8,IELTS,7.346313709409901,HSK5,Admitted,Partial Scholarship
BIT20250519,Dual Degree,India,Joint Business Administration Program,English-taught,2.44,3.7,1.2,0,6.5,60.5,IELTS,3.9331405643404933,HSK3,Rejected,No Scholarship
BIT20250520,Undergraduate,Egypt,Management,Chinese-taught,3.4,6.4,6.1,1,5.7,65.8,TOEFL,112.09085043340336,HSK4,Rejected,No Scholarship
BIT20250521,Postgraduate,Mongolia,Mathematics,English-taught,2.38,3.0,6.9,0,4.8,65.1,IELTS,4.3741779562036385,HSK1,Rejected,No Scholarship
BIT20250522,Undergraduate,Kenya,Management,English-taught,2.97,6.2,5.6,0,7.3,81.9,IELTS,7.579441506605312,HSK2,Admitted,No Scholarship
BIT20250523,Dual Degree,Pakistan,Joint Mechanical Engineering,Chinese-taught,2.73,6.9,8.0,1,7.3,80.5,TOEFL,101.59516861855688,HSK5,Admitted,No Scholarship
BIT20250524,Chinese Language,Thailand,Chinese Language and Culture,Chinese-taught,3.08,7.5,7.2,1,7.4,70.5,TOEFL,89.22653305862053,HSK5,Admitted,No Scholarship
BIT20250525,Chinese Language,Mongolia,Chinese Language and Culture,Chinese-taught,3.53,6.2,7.7,1,7.3,69.0,IELTS,7.699709921342012,HSK5,Admitted,Partial Scholarship
BIT20250526,Postgraduate,Kazakhstan,Business Administration,English-taught,3.34,6.2,1.2,0,4.6,65.0,TOEFL,74.22036183380827,HSK1,Rejected,No Scholarship
BIT20250527,Postgraduate,Kazakhstan,Management Science and Engineering,English-taught,3.32,4.6,4.0,1,7.6,73.2,IELTS,7.425533415874989,HSK1,Rejected,No Scholarship
BIT20250528,Undergraduate,Kazakhstan,Foreign Languages,English-taught,2.98,5.3,5.3,0,5.4,47.3,IELTS,6.256869994100839,HSK3,Rejected,No Scholarship
BIT20250529,Undergraduate,Kenya,Cyberspace Science and Technology,English-taught,3.04,3.7,6.0,0,5.9,64.5,IELTS,5.617435705157703,HSK2,Rejected,No Scholarship
BIT20250530,Chinese Language,India,Chinese Language and Culture,Chinese-taught,3.15,5.0,6.5,0,4.9,72.2,TOEFL,59.6308106805772,HSK3,Rejected,No Scholarship
BIT20250531,Chinese Language,Pakistan,Chinese Language and Culture,Chinese-taught,3.43,6.3,6.0,1,7.7,83.0,TOEFL,89.68902067414732,HSK5,Admitted,Partial Scholarship
BIT20250532,Dual Degree,Ethiopia,Joint Business Administration Program,Chinese-taught,3.51,8.1,9.4,1,7.6,96.0,DUOLINGO,123.28468604440674,HSK6,Admitted,Partial Scholarship
BIT20250533,Dual Degree,Morocco,Joint Mechanical Engineering,English-taught,3.76,6.9,6.0,0,8.3,75.3,IELTS,7.684856144277521,HSK2,Admitted,Partial Scholarship
BIT20250534,Postgraduate,Kazakhstan,Business Administration,English-taught,3.96,8.2,4.5,1,7.8,72.9,DUOLINGO,60.869385454750706,HSK1,Rejected,No Scholarship
BIT20250535,Chinese Language,Brazil,Chinese Language and Culture,Chinese-taught,3.23,5.9,6.6,2,8.2,70.3,TOEFL,91.4939225150159,HSK4,Admitted,Partial Scholarship
